"taskOrder"	"JobNo"	"EmpNo"	"TransDate"	"Hours"
"1"	"Bravo"	"Bravo RFS 001"	"26252"	"2018-07"	8
"2"	"Bravo"	"Bravo RFS 001"	"26252"	"2018-08"	10
"3"	"Bravo"	"Bravo RFS 001"	"505564"	"2018-03"	28.5
"4"	"Bravo"	"Bravo RFS 001"	"505564"	"2018-04"	67
"5"	"Bravo"	"Bravo RFS 001"	"505564"	"2018-05"	19
"6"	"Bravo"	"Bravo RFS 001"	"505564"	"2018-06"	20
"7"	"Bravo"	"Bravo RFS 001"	"505564"	"2018-07"	22.5
"8"	"Bravo"	"Bravo RFS 001"	"505564"	"2018-08"	3.5
"9"	"Bravo"	"Bravo RFS 001"	"505564"	"2018-09"	2
"10"	"Bravo"	"Bravo RFS 001"	"505564"	"2018-10"	2.5
"11"	"Bravo"	"Bravo RFS 001"	"514390"	"2018-10"	5.75
"12"	"Bravo"	"Bravo RFS 001"	"520635"	"2018-02"	73
"13"	"Bravo"	"Bravo RFS 001"	"520635"	"2018-03"	60
"14"	"Bravo"	"Bravo RFS 001"	"520635"	"2018-04"	49
"15"	"Bravo"	"Bravo RFS 001"	"520635"	"2018-05"	127
"16"	"Bravo"	"Bravo RFS 001"	"520635"	"2018-06"	40
"17"	"Bravo"	"Bravo RFS 001"	"520635"	"2018-07"	40
"18"	"Bravo"	"Bravo RFS 001"	"520635"	"2018-08"	38.5
"19"	"Bravo"	"Bravo RFS 001"	"520635"	"2018-09"	15
"20"	"Bravo"	"Bravo RFS 001"	"523279"	"2018-02"	82.5
"21"	"Bravo"	"Bravo RFS 001"	"523279"	"2018-03"	50.5
"22"	"Bravo"	"Bravo RFS 001"	"523279"	"2018-04"	40
"23"	"Bravo"	"Bravo RFS 001"	"523279"	"2018-05"	34
"24"	"Bravo"	"Bravo RFS 001"	"523279"	"2018-06"	38.5
"25"	"Bravo"	"Bravo RFS 001"	"523279"	"2018-07"	42
"26"	"Bravo"	"Bravo RFS 001"	"523279"	"2018-08"	37
"27"	"Bravo"	"Bravo RFS 001"	"523279"	"2018-09"	31.5
"28"	"Bravo"	"Bravo RFS 001"	"524759"	"2018-02"	5
"29"	"Bravo"	"Bravo RFS 001"	"524759"	"2018-03"	2
"30"	"Bravo"	"Bravo RFS 001"	"524759"	"2018-04"	5
"31"	"Bravo"	"Bravo RFS 001"	"524759"	"2018-05"	27
"32"	"Bravo"	"Bravo RFS 001"	"524759"	"2018-06"	13
"33"	"Bravo"	"Bravo RFS 001"	"524759"	"2018-07"	11
"34"	"Bravo"	"Bravo RFS 001"	"524759"	"2018-08"	21
"35"	"Bravo"	"Bravo RFS 001"	"524759"	"2018-09"	17
"36"	"Bravo"	"Bravo RFS 001"	"524759"	"2018-10"	22
"37"	"Bravo"	"Bravo RFS 001"	"524759"	"2018-11"	4
"38"	"Bravo"	"Bravo RFS 001"	"524759"	"2018-12"	1
