"lineID"	"empID"	"hours"	"taskOrder"	"task"	"month"
"1"	"B.Y1.RFS001.Task.3.LB.DEF.B.43515"	"524759"	"16"	"Bravo"	"Y1.RFS001"	"2019-02"
"2"	"B.Y1.RFS001.Task.3.LB.DEF.B.43515"	"595312"	"36"	"Bravo"	"Y1.RFS001"	"2019-02"
"3"	"B.Y1.RFS001.Task.3.LB.DEF.B.43515"	"599940"	"16"	"Bravo"	"Y1.RFS001"	"2019-02"
"4"	"B.Y1.RFS001.Task.3.LB.DEF.B.43515"	"560435"	"76"	"Bravo"	"Y1.RFS001"	"2019-02"
"5"	"B.Y1.RFS001.Task.3.LB.DEF.B.43515"	"582013"	"32"	"Bravo"	"Y1.RFS001"	"2019-02"
"6"	"B.Y1.RFS001.Task.3.LB.DEF.B.43515"	"581524"	"16"	"Bravo"	"Y1.RFS001"	"2019-02"
"7"	"B.Y1.RFS001.Task.3.LB.DEF.B.43515"	"600262"	"152"	"Bravo"	"Y1.RFS001"	"2019-02"
"8"	"B.Y1.RFS001.Task.3.LB.DEF.B.43515"	"600099"	"6"	"Bravo"	"Y1.RFS001"	"2019-02"
"9"	"B.Y1.RFS001.Task.3.LB.DEF.B.43515"	"537572"	"152"	"Bravo"	"Y1.RFS001"	"2019-02"
"10"	"B.Y1.RFS001.Task.3.LB.DEF.B.43515"	"547825"	"76"	"Bravo"	"Y1.RFS001"	"2019-02"
"11"	"B.Y1.RFS001.Task.3.LB.DEF.B.43515"	"592855"	"152"	"Bravo"	"Y1.RFS001"	"2019-02"
"12"	"B.Y1.RFS001.Task.3.LB.DEF.B.43515"	"580919"	"38"	"Bravo"	"Y1.RFS001"	"2019-02"
"13"	"B.Y1.RFS001.Task.3.LB.DEF.B.43515"	"544094"	"152"	"Bravo"	"Y1.RFS001"	"2019-02"
"14"	"B.Y1.RFS001.Task.3.LB.DEF.B.43515"	"581165"	"5"	"Bravo"	"Y1.RFS001"	"2019-02"
"15"	"B.Y1.RFS001.Task.3.LB.DEF.B.43515"	"577606"	"36"	"Bravo"	"Y1.RFS001"	"2019-02"
"16"	"B.Y1.RFS001.Task.3.LB.DEF.B.43515"	"582041"	"10"	"Bravo"	"Y1.RFS001"	"2019-02"
"17"	"B.Y1.RFS001.Task.3.LB.DEF.B.43515"	"587199"	"32"	"Bravo"	"Y1.RFS001"	"2019-02"
"18"	"B.Y1.RFS001.Task.3.LB.DEF.B.43515"	"592981"	"32"	"Bravo"	"Y1.RFS001"	"2019-02"
"19"	"B.Y1.RFS001.Task.3.LB.DEF.B.43515"	"544848"	"40"	"Bravo"	"Y1.RFS001"	"2019-02"
"20"	"B.Y1.RFS001.Task.3.LB.DEF.B.43515"	"574806"	"36"	"Bravo"	"Y1.RFS001"	"2019-02"
