Task Order	JobNo	Emp No.	Trans Date	Hours
Delta	00011000000	590363	11/30/2018	72
Delta	00011000000	590363	1/15/2019	6
Delta	00011000000	590363	12/15/2018	80
Delta	00011000000	590363	11/15/2018	80
Delta	00011000000	590363	10/15/2018	8
Delta	00011000000	590363	10/31/2018	8
Delta	00011000000	590363	10/31/2018	88
Delta	00011000000	591253	12/15/2018	2.25
Delta	00011000000	591253	12/31/2018	5.25
Delta	00011000000	591253	12/15/2018	8
Delta	00011000000	591253	12/31/2018	9.5
Delta	00011000000	591548	9/30/2018	15.5
Delta	00011000000	591548	8/31/2018	22.5
Delta	00011000000	591548	9/15/2018	72
Delta	00011000000	591548	1/15/2019	42
Delta	00011000000	591548	9/30/2018	64.5
Delta	00011000000	591548	10/15/2018	8.5
Delta	00011000000	591548	10/15/2018	11
Delta	00011000000	591548	10/15/2018	61.5
Delta	00011000000	591548	10/31/2018	22.5
Delta	00011000000	591548	10/31/2018	72.5
Delta	00011000000	591548	11/15/2018	20.5
Delta	00011000000	591548	11/15/2018	47.5
Delta	00011000000	591548	11/30/2018	20
Delta	00011000000	591548	11/30/2018	30
Delta	00011000000	591548	12/15/2018	13.5
Delta	00011000000	591548	12/15/2018	48
Delta	00011000000	591548	12/31/2018	43.5
Delta	00011000000	598598	1/15/2019	4
Delta	00011000000	541513	12/15/2018	2
Delta	00011000000	541513	12/15/2018	11.25
Delta	00011000000	541513	11/30/2018	4.5
Delta	00011000000	541513	11/30/2018	4.25
Delta	00011000000	541513	11/15/2018	19.5
Delta	00011000000	541513	11/15/2018	6
Delta	00011000000	541513	10/31/2018	11.5
Delta	00011000000	541513	10/31/2018	10
Delta	00011000000	541513	10/31/2018	1.5
Delta	00011000000	541513	10/15/2018	4
Delta	00011000000	541513	10/15/2018	4
Delta	00011000000	541513	10/15/2018	2
Delta	00011000000	541513	1/15/2019	0.5
Delta	00011000000	541513	1/15/2019	11
Delta	00011000000	541513	1/15/2019	22.5
Delta	00011000000	541513	12/31/2018	21.5
Delta	00011000000	541513	12/31/2018	5
Delta	00011000000	541513	12/31/2018	2
Delta	00011000000	541513	12/15/2018	22.5
Delta	00011000000	541513	11/30/2018	28
Delta	00011000000	582994	1/15/2019	23.5
Delta	00011000000	582994	12/31/2018	14
Delta	00011000000	582994	12/15/2018	8.5
Delta	00011000000	582994	12/15/2018	3
Delta	00011000000	582994	11/30/2018	7.5
Delta	00011000000	582994	11/15/2018	17.5
Delta	00011000000	582994	11/15/2018	7
Delta	00011000000	582994	10/31/2018	28
Delta	00011000000	582994	10/31/2018	8
Delta	00011000000	582994	10/15/2018	14
Delta	00011000000	582994	10/15/2018	9
Delta	00011000000	582994	9/30/2018	13.5
Delta	00011000000	582994	9/30/2018	2
Delta	00011000000	582994	8/15/2018	6.5
Delta	00011000000	582994	9/15/2018	2
Delta	00011000000	582994	8/31/2018	5.5
Delta	00011000000	587199	10/31/2018	2.75
Delta	00011000000	589073	11/30/2018	2.25
Delta	00011000000	589073	11/15/2018	28.5
Delta	00011000000	589073	10/31/2018	11.25
